Packet: 1000.000000	 Time: 1.618165
Packet: 2000.000000	 Time: 1.650165
Packet: 3000.000000	 Time: 1.666165
Packet: 4000.000000	 Time: 1.682165
Packet: 5000.000000	 Time: 1.698165
Packet: 6000.000000	 Time: 1.722165
Packet: 7000.000000	 Time: 1.738165
Packet: 8000.000000	 Time: 1.770165
Packet: 9000.000000	 Time: 1.802165
Packet: 10000.000000	 Time: 1.818165
Packet: 11000.000000	 Time: 1.826165
Packet: 12000.000000	 Time: 1.834165
Packet: 13000.000000	 Time: 1.858165
Packet: 14000.000000	 Time: 1.866165
Packet: 15000.000000	 Time: 1.874165
Packet: 16000.000000	 Time: 1.882165
Packet: 17000.000000	 Time: 1.922165
Packet: 18000.000000	 Time: 1.930165
Packet: 19000.000000	 Time: 1.938165
Packet: 20000.000000	 Time: 1.970165
Packet: 21000.000000	 Time: 1.994165
Packet: 22000.000000	 Time: 2.010165
Packet: 23000.000000	 Time: 2.018165
Packet: 24000.000000	 Time: 2.026165
Packet: 25000.000000	 Time: 2.042165
Packet: 26000.000000	 Time: 2.082165
Packet: 27000.000000	 Time: 2.090165
Packet: 28000.000000	 Time: 2.098165
Packet: 29000.000000	 Time: 2.114165
Packet: 30000.000000	 Time: 2.130165
Packet: 31000.000000	 Time: 2.162165
Packet: 32000.000000	 Time: 2.170165
Packet: 33000.000000	 Time: 2.178165
Packet: 34000.000000	 Time: 2.202165
Packet: 35000.000000	 Time: 2.210165
Packet: 36000.000000	 Time: 2.218165
Packet: 37000.000000	 Time: 2.226165
Packet: 38000.000000	 Time: 2.234165
Packet: 39000.000000	 Time: 2.242165
Packet: 40000.000000	 Time: 2.250165
Packet: 41000.000000	 Time: 2.266165
Packet: 42000.000000	 Time: 2.274165
Packet: 43000.000000	 Time: 2.282165
Packet: 44000.000000	 Time: 2.290165
Packet: 45000.000000	 Time: 2.314165
Packet: 46000.000000	 Time: 2.354165
Packet: 47000.000000	 Time: 2.362165
Packet: 48000.000000	 Time: 2.410165
Packet: 49000.000000	 Time: 2.418165
Packet: 50000.000000	 Time: 2.426165
Packet: 51000.000000	 Time: 2.450165
Packet: 52000.000000	 Time: 2.458165
Packet: 53000.000000	 Time: 2.466165
Packet: 54000.000000	 Time: 2.474165
Packet: 55000.000000	 Time: 2.538165
Packet: 56000.000000	 Time: 2.578165
Packet: 57000.000000	 Time: 2.594165
Packet: 58000.000000	 Time: 2.602165
throughput: 174.133846 Mbps
